datetime,tempmax,tempmin,temp,dew,humidity,cloudcover,conditions
2023-10-23,16.6,8.3,11.7,5.2,64.8,71.3,Partially cloudy
2023-10-24,15.9,6.4,11.2,6.0,70.9,48.0,Partially cloudy
2023-10-25,24.3,11.3,16.7,10.1,67.9,50.0,Partially cloudy
2023-10-26,26.3,15.2,19.4,11.0,60.4,65.2,Partially cloudy
2023-10-27,25.6,16.4,20.0,12.1,61.6,59.2,Partially cloudy
2023-10-28,26.9,16.2,21.0,13.0,61.6,32.5,Partially cloudy
2023-10-29,16.9,8.8,11.3,6.3,72.4,93.4,"Rain, Overcast"
2023-10-30,12.1,8.4,9.9,8.9,93.4,99.9,"Rain, Overcast"
2023-10-31,9.9,4.0,6.8,-2.3,54.5,59.3,Partially cloudy
2023-11-01,7.4,3.1,5.7,-0.7,64.1,75.1,Partially cloudy
2023-11-02,8.3,0.5,4.0,-4.6,55.2,19.3,Clear
2023-11-03,12.9,2.1,7.7,-0.6,57.8,48.4,Partially cloudy
2023-11-04,15.2,8.1,10.7,4.2,65.6,77.8,Partially cloudy
2023-11-05,15.6,8.2,11.5,3.6,59.4,72.4,Partially cloudy
2023-11-06,9.5,6.4,8.2,2.1,65.7,93.3,Overcast
2023-11-07,19.0,9.0,13.8,8.6,72.6,73.9,"Rain, Partially cloudy"
2023-11-08,11.5,2.7,5.6,-5.1,46.5,50.9,Partially cloudy
2023-11-09,7.6,2.8,4.4,0.9,79.6,95.0,"Rain, Overcast"
2023-11-10,10.7,3.5,7.2,1.3,68.0,62.5,Partially cloudy
2023-11-11,9.5,0.9,6.2,-2.6,54.1,29.8,Partially cloudy
2023-11-12,5.7,-1.4,1.8,-5.6,58.4,32.2,Partially cloudy
2023-11-13,6.7,-2.9,2.1,-4.6,62.4,52.9,Partially cloudy
2023-11-14,9.4,1.6,5.0,-0.8,67.1,63.7,Partially cloudy
